type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Bulli Station, Platform 2",-34.33425636,150.9148673,Intercity Trains Network,2
Train,"Bundanoon Station, Platform 1",-34.65593508,150.2994324,Intercity Trains Network,2
Train,"Bundanoon Station, Platform 2",-34.65603618,150.2993601,Intercity Trains Network,2
Train,"Burradoo Station, Platform 1",-34.49415822,150.3979317,Intercity Trains Network,2
Train,"Burradoo Station, Platform 2",-34.49421972,150.3979886,Intercity Trains Network,2
Train,"Burwood Station, Platform 1",-33.87694624,151.1041954,Sydney Trains Network,2
Train,"Burwood Station, Platform 2",-33.87703476,151.1042428,Sydney Trains Network,2
Train,"Burwood Station, Platform 3",-33.87712544,151.1042256,Sydney Trains Network,2
Train,"Burwood Station, Platform 4",-33.87719776,151.1042182,Sydney Trains Network,2
Train,"Burwood Station, Platform 5",-33.87727045,151.1042001,Sydney Trains Network,2
Train,"Burwood Station, Platform 6",-33.87735177,151.1041932,Sydney Trains Network,2
Train,"Cabramatta Station, Platform 1",-33.89489646,150.9387863,Sydney Trains Network,2
Train,"Cabramatta Station, Platform 2",-33.89491134,150.9388842,Sydney Trains Network,2
Train,"Campbelltown Station, Platform 1",-34.06353743,150.8143492,Intercity Trains Network,2
Train,"Campbelltown Station, Platform 1",-34.06353743,150.8143492,Sydney Trains Network,2
Train,"Campbelltown Station, Platform 2",-34.06360707,150.8144281,Intercity Trains Network,2
Train,"Campbelltown Station, Platform 2",-34.06360707,150.8144281,Sydney Trains Network,2
Train,"Campbelltown Station, Platform 3",-34.06370504,150.8144649,Intercity Trains Network,2
Train,"Campbelltown Station, Platform 3",-34.06370504,150.8144649,Sydney Trains Network,2
Train,"Campbelltown Station, Platform 4",-34.06423679,150.8138825,Intercity Trains Network,2
Train,"Canley Vale Station, Platform 1",-33.88726453,150.9435563,Sydney Trains Network,2
Train,"Canley Vale Station, Platform 2",-33.88729845,150.9436227,Sydney Trains Network,2
Train,"Cardiff Station, Platform 1",-32.94153694,151.662689,Intercity Trains Network,2
