type,stop_name,stop_lat,stop_lon,route_desc,route_type,route_color
Train,"Birrong Station, Platform 2",-33.8926991678962,151.024207594344,Sydney Trains Network,2,F6891F
Train,"Blackheath Station, Platform 1",-33.6336332876474,150.284388091723,Intercity Trains Network,2,F99D1C
Train,"Blackheath Station, Platform 2",-33.6336350049217,150.284323503,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 1",-33.7681360511604,150.908011375419,Intercity Trains Network,2,D11F2F
Train,"Blacktown Station, Platform 1",-33.7681360511604,150.908011375419,Sydney Trains Network,2,6F818E
Train,"Blacktown Station, Platform 1",-33.7681360511604,150.908011375419,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 1",-33.7681360511604,150.908011375419,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 2",-33.7681737524171,150.90795914095,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 2",-33.7681737524171,150.90795914095,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 3",-33.7684251303906,150.90742029267,Intercity Trains Network,2,D11F2F
Train,"Blacktown Station, Platform 3",-33.7684251303906,150.90742029267,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 3",-33.7684251303906,150.90742029267,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 3",-33.7684251303906,150.90742029267,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 4",-33.7684981410855,150.907391242421,Intercity Trains Network,2,D11F2F
Train,"Blacktown Station, Platform 4",-33.7684981410855,150.907391242421,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 4",-33.7684981410855,150.907391242421,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 4",-33.7684981410855,150.907391242421,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 5",-33.7685621535492,150.907361783076,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 5",-33.7685621535492,150.907361783076,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 6",-33.7686434792176,150.907354690293,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 6",-33.7686434792176,150.907354690293,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 6",-33.7686434792176,150.907354690293,Sydney Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 7",-33.7686981518274,150.907335596091,Intercity Trains Network,2,F99D1C
Train,"Blacktown Station, Platform 7",-33.7686981518274,150.907335596091,Sydney Trains Network,2,C4258F
Train,"Blacktown Station, Platform 7",-33.7686981518274,150.907335596091,Sydney Trains Network,2,F99D1C
Train,"Blaxland Station, Platform 1",-33.7436624360638,150.609740223317,Intercity Trains Network,2,F99D1C
Train,"Blaxland Station, Platform 2",-33.743718021292,150.609688614701,Intercity Trains Network,2,F99D1C
Train,"Bomaderry Station, Platform 1",-34.853817819806,150.609851675246,Intercity Trains Network,2,005AA3
Train,"Bombo Station, Platform 1",-34.6586934594805,150.853817947729,Intercity Trains Network,2,005AA3
Train,"Bondi Junction Station, Platform 1",-33.891273815749,151.248240114065,Intercity Trains Network,2,005AA3
Train,"Bondi Junction Station, Platform 1",-33.891273815749,151.248240114065,Sydney Trains Network,2,005AA3
Train,"Bondi Junction Station, Platform 2",-33.8910827017796,151.248295442848,Intercity Trains Network,2,005AA3
Train,"Bondi Junction Station, Platform 2",-33.8910827017796,151.248295442848,Sydney Trains Network,2,005AA3
Train,"Booragul Station, Platform 1",-32.9716014236649,151.604915648003,Intercity Trains Network,2,D11F2F
Train,"Booragul Station, Platform 2",-32.9716401473764,151.604842851121,Intercity Trains Network,2,D11F2F
Train,"Bowral Station, Platform 1",-34.4781921901005,150.416513877168,Intercity Trains Network,2,00954C
Train,"Bowral Station, Platform 2",-34.4780687731238,150.416737383648,Intercity Trains Network,2,00954C
Train,"Branxton Station, Platform 1",-32.6621899049974,151.345556936071,Intercity Trains Network,2,833134
Train,"Branxton Station, Platform 2",-32.6622712274936,151.345550227361,Intercity Trains Network,2,833134
Light Rail,Bridge Street Light Rail,-33.8641497738042,151.207483756096,Sydney Light Rail Network,900,781140
Light Rail,Bridge Street Light Rail,-33.8641497738042,151.207483756096,Sydney Light Rail Network,900,DD1E25
Light Rail,Bridge Street Light Rail,-33.8641149010507,151.207449641448,Sydney Light Rail Network,900,781140
Light Rail,Bridge Street Light Rail,-33.8641149010507,151.207449641448,Sydney Light Rail Network,900,DD1E25
Train,"Broadmeadow Station, Platform 1",-32.922825763934,151.734921687433,Intercity Trains Network,2,D11F2F
Train,"Broadmeadow Station, Platform 2",-32.9227746592195,151.734844196061,Intercity Trains Network,2,D11F2F
Train,"Broadmeadow Station, Platform 3",-32.922713755463,151.734787542714,Intercity Trains Network,2,833134
Train,"Bullaburra Station, Platform 1",-33.7234180419059,150.4148524214,Intercity Trains Network,2,F99D1C
Train,"Bullaburra Station, Platform 2",-33.7234696752876,150.414940759467,Intercity Trains Network,2,F99D1C
Train,"Bulli Station, Platform 1",-34.3343504993422,150.914741319914,Intercity Trains Network,2,005AA3
Train,"Bulli Station, Platform 2",-34.3342563588018,150.914867285005,Intercity Trains Network,2,005AA3
Train,"Bundanoon Station, Platform 1",-34.6559350775001,150.299432445763,Intercity Trains Network,2,00954C
Train,"Bundanoon Station, Platform 2",-34.6560361760106,150.299360109013,Intercity Trains Network,2,00954C
Train,"Burradoo Station, Platform 1",-34.494158220066,150.39793166664,Intercity Trains Network,2,00954C
Train,"Burradoo Station, Platform 2",-34.4942197225333,150.397988590401,Intercity Trains Network,2,00954C
Train,"Burwood Station, Platform 1",-33.8769462368354,151.104195382538,Sydney Trains Network,2,D11F2F
Train,"Burwood Station, Platform 1",-33.8769462368354,151.104195382538,Sydney Trains Network,2,F99D1C
Train,"Burwood Station, Platform 2",-33.8770347565492,151.104242837364,Sydney Trains Network,2,0098CD
Train,"Burwood Station, Platform 2",-33.8770347565492,151.104242837364,Sydney Trains Network,2,D11F2F
Train,"Burwood Station, Platform 2",-33.8770347565492,151.104242837364,Sydney Trains Network,2,F37021
Train,"Burwood Station, Platform 2",-33.8770347565492,151.104242837364,Sydney Trains Network,2,F99D1C
Train,"Burwood Station, Platform 3",-33.877125435155,151.104225580732,Sydney Trains Network,2,D11F2F
Train,"Burwood Station, Platform 3",-33.877125435155,151.104225580732,Sydney Trains Network,2,F99D1C
Train,"Burwood Station, Platform 4",-33.8771977621491,151.10421824657,Sydney Trains Network,2,D11F2F
Train,"Burwood Station, Platform 5",-33.8772704489595,151.104200127121,Sydney Trains Network,2,0098CD
Train,"Burwood Station, Platform 5",-33.8772704489595,151.104200127121,Sydney Trains Network,2,F37021
Train,"Burwood Station, Platform 6",-33.8773517718505,151.104193224326,Sydney Trains Network,2,0098CD
Train,"Burwood Station, Platform 6",-33.8773517718505,151.104193224326,Sydney Trains Network,2,F37021
Train,"Cabramatta Station, Platform 1",-33.894896458706,150.938786294911,Sydney Trains Network,2,0098CD
Train,"Cabramatta Station, Platform 1",-33.894896458706,150.938786294911,Sydney Trains Network,2,C4258F
Train,"Cabramatta Station, Platform 1",-33.894896458706,150.938786294911,Sydney Trains Network,2,F37021
Train,"Cabramatta Station, Platform 2",-33.8949113446221,150.938884230786,Sydney Trains Network,2,0098CD
Train,"Cabramatta Station, Platform 2",-33.8949113446221,150.938884230786,Sydney Trains Network,2,C4258F
Train,"Cabramatta Station, Platform 2",-33.8949113446221,150.938884230786,Sydney Trains Network,2,F37021
Train,"Campbelltown Station, Platform 1",-34.0635374271191,150.814349151009,Intercity Trains Network,2,00954C
Train,"Campbelltown Station, Platform 1",-34.0635374271191,150.814349151009,Sydney Trains Network,2,00954C
Train,"Campbelltown Station, Platform 1",-34.0635374271191,150.814349151009,Sydney Trains Network,2,C4258F
Train,"Campbelltown Station, Platform 2",-34.0636070650168,150.814428069695,Intercity Trains Network,2,00954C
Train,"Campbelltown Station, Platform 2",-34.0636070650168,150.814428069695,Sydney Trains Network,2,00954C
Train,"Campbelltown Station, Platform 2",-34.0636070650168,150.814428069695,Sydney Trains Network,2,C4258F
Train,"Campbelltown Station, Platform 2",-34.0636070650168,150.814428069695,Sydney Trains Network,2,F37021
Train,"Campbelltown Station, Platform 3",-34.0637050434621,150.814464949377,Intercity Trains Network,2,00954C
Train,"Campbelltown Station, Platform 3",-34.0637050434621,150.814464949377,Sydney Trains Network,2,00954C
Train,"Campbelltown Station, Platform 4",-34.0642367924882,150.813882454696,Intercity Trains Network,2,00954C
Train,"Canley Vale Station, Platform 1",-33.8872645344563,150.943556337478,Sydney Trains Network,2,0098CD
Train,"Canley Vale Station, Platform 1",-33.8872645344563,150.943556337478,Sydney Trains Network,2,C4258F
Train,"Canley Vale Station, Platform 2",-33.887298450023,150.943622728277,Sydney Trains Network,2,0098CD
Train,"Canley Vale Station, Platform 2",-33.887298450023,150.943622728277,Sydney Trains Network,2,C4258F
Light Rail,Capitol Square Light Rail,-33.8798118386264,151.205553115885,Sydney Light Rail Network,900,BE1622
Light Rail,Capitol Square Light Rail,-33.8797703289384,151.20571311068,Sydney Light Rail Network,900,BE1622
Train,"Cardiff Station, Platform 1",-32.941536938249,151.66268899606,Intercity Trains Network,2,D11F2F
Train,"Cardiff Station, Platform 2",-32.941498184985,151.662761740235,Intercity Trains Network,2,D11F2F
Train,"Caringbah Station, Platform 1",-34.0416009454467,151.122156683892,Sydney Trains Network,2,005AA3
Train,"Caringbah Station, Platform 2",-34.0415376143496,151.122164437976,Sydney Trains Network,2,005AA3
Train,"Carlton Station, Platform 1",-33.9681594987226,151.124302845712,Sydney Trains Network,2,005AA3
Train,"Carlton Station, Platform 2",-33.9682397337011,151.124328353512,Sydney Trains Network,2,005AA3
Train,"Carlton Station, Platform 3",-33.9683199686701,151.124353861367,Sydney Trains Network,2,005AA3
Train,"Carlton Station, Platform 4",-33.9684002036294,151.124379369278,Sydney Trains Network,2,005AA3
Train,"Carramar Station, Platform 1",-33.8844550519521,150.960886469782,Sydney Trains Network,2,0098CD
Train,"Carramar Station, Platform 1",-33.8844550519521,150.960886469782,Sydney Trains Network,2,F37021
Train,"Carramar Station, Platform 2",-33.8844996920058,150.960899340186,Sydney Trains Network,2,0098CD
Train,"Carramar Station, Platform 2",-33.8844996920058,150.960899340186,Sydney Trains Network,2,F37021
Metro,"Castle Hill Station, Platform 1",-33.7314688480355,151.007680215438,Sydney Metro Network,401,168388
Metro,"Castle Hill Station, Platform 2",-33.7315491226346,151.007705522602,Sydney Metro Network,401,168388
Train,"Casula Station, Platform 1",-33.950284566501,150.911767422064,Sydney Trains Network,2,0098CD
