address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"8/15-17 Queens Avenue, Parramatta NSW 2150",600000,18/09/2024,apartment,2,1,1,
"2304/12 Phillip Street, Parramatta NSW 2150",685000,18/09/2024,apartment,1,1,,
"1/14 Thomas Street, Parramatta NSW 2150",545000,18/09/2024,unit,2,1,1,
"186/109-113 George Street, Parramatta NSW 2150",683000,16/09/2024,apartment,2,2,1,
"34/10-12 Thomas Street, Parramatta NSW 2150",572000,14/09/2024,unit,2,1,1,
"104/38 MacArthur Street, Parramatta NSW 2150",585000,14/09/2024,unit,2,2,1,94 m2
"K1331/2 Morton Street, Parramatta NSW 2150",672000,13/09/2024,apartment,2,2,1,
"10/29c Great Western Highway, Parramatta NSW 2150",410000,13/09/2024,apartment,2,1,1,
"10/22-24 Tennyson Street, Parramatta NSW 2150",610000,12/09/2024,unit,2,2,1,106 m2
"11/68-70 Great Western Highway, Parramatta NSW 2150",530000,12/09/2024,apartment,2,1,1,
"1814/45 Macquarie St, Parramatta NSW 2150",640000,12/09/2024,apartment,2,1,1,
"2/15 Stewart Street, Parramatta NSW 2150",650000,12/09/2024,apartment,2,2,1,
"11/19 Good Street, Parramatta NSW 2150",592000,11/09/2024,unit,2,1,1,
"902/2 River Road West, Parramatta NSW 2150",800000,11/09/2024,apartment,3,2,2,145 m2
"826/45 Macquarie Street, Parramatta NSW 2150",400000,10/09/2024,studio,1,1,,
"2407/29 Hunter Street, Parramatta NSW 2150",540000,10/09/2024,apartment,3,2,1,
"D807/1 Broughton Street, Parramatta NSW 2150",516000,10/09/2024,apartment,1,1,1,
"203/165 Pennant Street, Parramatta NSW 2150",760000,9/09/2024,apartment,3,2,1,
"4/69-71 High Street, Parramatta NSW 2150",611000,8/09/2024,unit,3,1,1,
"4/36-40 Morton Street, Parramatta NSW 2150",1155000,7/09/2024,townhouse,3,2,2,
"37 Morton Street, Parramatta NSW 2150",2060000,7/09/2024,house,4,3,2,455 m2
"1115C/3 Broughton Street, Parramatta NSW 2150",655000,7/09/2024,apartment,2,2,1,
"8/478 Church Street, Parramatta NSW 2150",610000,6/09/2024,apartment,2,2,1,
"26 Glebe Street, Parramatta NSW 2150",1950000,6/09/2024,house,4,1,1,620 m2
"16/21-23 Cowper Street, Parramatta NSW 2150",750000,5/09/2024,apartment,3,2,1,
"K1326/2 Morton Street, Parramatta NSW 2150",708000,5/09/2024,apartment,2,2,1,
"11/99-101 Great Western Highway, Parramatta NSW 2150",505000,4/09/2024,apartment,2,1,1,
"K1228/2 Morton Street, Parramatta NSW 2150",915000,3/09/2024,apartment,3,2,2,
"1123/45 Macquarie Street, Parramatta NSW 2150",610000,2/09/2024,apartment,1,1,1,
"1109/2 Morton Street, Parramatta NSW 2150",975000,30/08/2024,apartment,3,2,2,217 m2
"24/69-71 High St, Parramatta NSW 2150",490000,30/08/2024,apartment,2,1,1,
"407/8 River Road West, Parramatta NSW 2150",545000,30/08/2024,apartment,2,2,1,
"2313/45 Macquarie Street, Parramatta NSW 2150",630000,30/08/2024,apartment,1,1,1,
"G836/1 Broughton St, Parramatta NSW 2150",756500,28/08/2024,apartment,2,2,1,
"2701/29 Hunter Street, Parramatta NSW 2150",525000,28/08/2024,apartment,2,2,1,
"5/16 King Street, Parramatta NSW 2150",750000,28/08/2024,unit,3,1,2,
"61/109-113 George Street, Parramatta NSW 2150",570000,26/08/2024,apartment,2,2,1,
"2/1A Betts Street, Parramatta NSW 2150",590000,24/08/2024,apartment,2,1,2,
"9/1 Robertson Street, Parramatta NSW 2150",680000,24/08/2024,unit,2,1,2,
"2/46-48 Pemberton street, Parramatta NSW 2150",1140000,23/08/2024,townhouse,4,2,2,
"304/330 Church Street, Parramatta NSW 2150",595000,23/08/2024,apartment,1,1,1,
"521/2 Morton Street, Parramatta NSW 2150",670000,23/08/2024,apartment,2,2,1,
"6/68 Great Western Highway, Parramatta NSW 2150",540000,23/08/2024,apartment,2,1,1,
"39 Thomas Street, Parramatta NSW 2150",2175000,22/08/2024,house,4,2,2,702 m2
"506/330 Church Street, Parramatta NSW 2150",643800,22/08/2024,apartment,2,2,1,
"801/29 Hunter St, Parramatta NSW 2150",460000,20/08/2024,apartment,2,2,1,
"3/101 Marsden street, Parramatta NSW 2150",590000,17/08/2024,apartment,2,2,1,
"313/31-37 Hassall Street, Parramatta NSW 2150",550000,17/08/2024,apartment,2,2,1,
"2/72 Marsden Street, Parramatta NSW 2150",850000,17/08/2024,unit,3,2,1,
"134/18 Sorrell Street, Parramatta NSW 2150",850000,16/08/2024,apartment,3,3,1,
"5/38 Thomas Street, Parramatta NSW 2150",540000,16/08/2024,unit,2,1,2,
"5/11-13 Tennyson Street, Parramatta NSW 2150",950888,16/08/2024,townhouse,3,2,1,
"2/181 George Street, Parramatta NSW 2150",700000,16/08/2024,apartment,2,1,2,
"2212/1A Morton Street, Parramatta NSW 2150",630000,16/08/2024,apartment,2,2,1,
"27/39 Cowper Street, Parramatta NSW 2150",632800,15/08/2024,apartment,2,1,1,
"25/26 Hassall street, Parramatta NSW 2150",540000,15/08/2024,apartment,2,2,1,
"1/123 Victoria Road, Parramatta NSW 2150",745000,15/08/2024,townhouse,2,2,1,
"11/21-23 Grose St, Parramatta NSW 2150",675000,14/08/2024,apartment,2,2,1,
"82/68 Macarthur Street, Parramatta NSW 2150",700000,14/08/2024,apartment,3,2,2,
"44/9-11 Cowper Street, Parramatta NSW 2150",675000,13/08/2024,apartment,2,2,1,
"305/6-10 Charles Street, Parramatta NSW 2150",585000,13/08/2024,unit,2,2,1,
"4103/330 Church Street, Parramatta NSW 2150",1100000,12/08/2024,apartment,3,2,2,
