lganame,councilnam,suburbname,postcode,percentage,,,,LGA_WRONG,,FIX,LGA_NEIGHBOR_WRONG
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,PUDDLEDOCK,2350,100,,,,GUNNEDAH,,,"GUNNEDAH, LIVERPOOL PLAINS, NARRABRI, TAMWORTH REGIONAL, WARRUMBUNGLE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,SOUTH GUYRA,2365,100,,,,GWYDIR,,,"GWYDIR, INVERELL, MOREE PLAINS, NARRABRI, TAMWORTH REGIONAL, URALLA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TENTERDEN,2365,100,,,,HAWKESBURY,,,"BLACKTOWN, BLUE MOUNTAINS, CENTRAL COAST, CESSNOCK, HAWKESBURY, LITHGOW CITY, PENRITH, SINGLETON, THE HILLS SHIRE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,THALGARRAH,2350,100,,,,HAY,,,"BALRANALD, CARRATHOOL, EDWARD RIVER, HAY, MURRAY RIVER, MURRUMBIDGEE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,THE GULF,2365,66.63454318,,,,HILLTOPS,,,"BLAND, COOTAMUNDRA-GUNDAGAI REGIONAL, COWRA, HILLTOPS, TEMORA, UPPER LACHLAN SHIRE, WEDDIN, YASS VALLEY"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TILBUSTER,2350,100,,,,HORNSBY,,,"CENTRAL COAST, HORNSBY, KU-RING-GAI, CITY OF PARRAMATTA, RYDE, THE HILLS SHIRE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TINGHA,2369,2.315283106,,,,HUNTERS HILL,,,"HUNTERS HILL, RYDE"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TUBBAMURRA,2365,100,,,,INNER WEST,,,"BAYSIDE (NSW), BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, INNER WEST, SYDNEY"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WANDSWORTH,2365,66.04271061,,,,INVERELL,,,"ARMIDALE REGIONAL, GLEN INNES SEVERN, GWYDIR, INVERELL, MOREE PLAINS, TENTERFIELD, URALLA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WARDS MISTAKE,2350,100,,,,JUNEE,,,"COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, JUNEE, TEMORA, WAGGA WAGGA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WOLLOMOMBI,2350,100,,,,KEMPSEY,,,"ARMIDALE REGIONAL, KEMPSEY, NAMBUCCA VALLEY, PORT MACQUARIE-HASTINGS, WALCHA"
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WONGWIBINDA,2350,100,,,,KIAMA,,,"KIAMA, SHELLHARBOUR, SHOALHAVEN, WINGECARRIBEE"
BALLINA,BALLINA SHIRE COUNCIL,ALSTONVALE,2477,100,,,,KU-RING-GAI,,,"HORNSBY, KU-RING-GAI, NORTHERN BEACHES, RYDE, WILLOUGHBY"
BALLINA,BALLINA SHIRE COUNCIL,ALSTONVILLE,2477,100,,,,KYOGLE,,,"CLARENCE VALLEY, KYOGLE, LISMORE, RICHMOND VALLEY, TENTERFIELD, TWEED"
BALLINA,BALLINA SHIRE COUNCIL,BAGOTVILLE,2477,100,,,,LACHLAN,,,"BLAND, BOGAN, CARRATHOOL, COBAR, FORBES, LACHLAN, NARROMINE, PARKES, WARREN"
BALLINA,BALLINA SHIRE COUNCIL,BALLINA,2478,100,,,,LAKE MACQUARIE,,,"CENTRAL COAST, CESSNOCK, LAKE MACQUARIE, NEWCASTLE"
BALLINA,BALLINA SHIRE COUNCIL,BROKEN HEAD,2481,36.34088909,,,,LANE COVE,,,"LANE COVE, NORTH SYDNEY, WILLOUGHBY"
BALLINA,BALLINA SHIRE COUNCIL,BROOKLET,2479,100,,,,LEETON,,,"GRIFFITH, LEETON, MURRUMBIDGEE, NARRANDERA"
BALLINA,BALLINA SHIRE COUNCIL,CABBAGE TREE ISLAND,2477,100,,,,LISMORE,,,"BALLINA, BYRON, KYOGLE, LISMORE, RICHMOND VALLEY, TWEED"
BALLINA,BALLINA SHIRE COUNCIL,COOLGARDIE,2478,100,,,,LITHGOW CITY,,LITHGOW CITY,"BATHURST REGIONAL, BLUE MOUNTAINS, HAWKESBURY, LITHGOW CITY, MID-WESTERN REGIONAL, OBERON, SINGLETON"
BALLINA,BALLINA SHIRE COUNCIL,CUMBALUM,2478,100,,,,LIVERPOOL,,,"CAMDEN, CAMPBELLTOWN, CANTERBURY-BANKSTOWN, FAIRFIELD, LIVERPOOL, PENRITH, SUTHERLAND SHIRE, WOLLONDILLY"
BALLINA,BALLINA SHIRE COUNCIL,DALWOOD,2477,100,,,,LIVERPOOL PLAINS,,,"GUNNEDAH, LIVERPOOL PLAINS, TAMWORTH REGIONAL, UPPER HUNTER, WARRUMBUNGLE"
BALLINA,BALLINA SHIRE COUNCIL,EAST BALLINA,2478,100,,,,LOCKHART,,,"FEDERATION, GREATER HUME SHIRE, LOCKHART, NARRANDERA, WAGGA WAGGA"
BALLINA,BALLINA SHIRE COUNCIL,EAST WARDELL,2477,100,,,,MAITLAND,,,"CESSNOCK, DUNGOG, MAITLAND, NEWCASTLE, PORT STEPHENS, SINGLETON"
BALLINA,BALLINA SHIRE COUNCIL,EMPIRE VALE,2478,100,,,,MID-COAST,,,"DUNGOG, MID-COAST, PORT MACQUARIE-HASTINGS, PORT STEPHENS, UPPER HUNTER, WALCHA"
BALLINA,BALLINA SHIRE COUNCIL,FERNLEIGH,2479,100,,,,MID-WESTERN REGIONAL,,MID-WESTERN REGIONAL,"BATHURST REGIONAL, CABONNE, DUBBO REGIONAL, LITHGOW CITY, MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, UPPER HUNTER, WARRUMBUNGLE"
BALLINA,BALLINA SHIRE COUNCIL,GOAT ISLAND,2477,100,,,,MOREE PLAINS,,,"GWYDIR, INVERELL, MOREE PLAINS, NARRABRI, WALGETT"
BALLINA,BALLINA SHIRE COUNCIL,KEITH HALL,2478,100,,,,MOSMAN,,,"MOSMAN, NORTH SYDNEY"
BALLINA,BALLINA SHIRE COUNCIL,KINVARA,2478,100,,,,MURRAY RIVER,,,"BALRANALD, BERRIGAN, EDWARD RIVER, HAY, MURRAY RIVER"
BALLINA,BALLINA SHIRE COUNCIL,KNOCKROW,2479,100,,,,MURRUMBIDGEE,,,"BERRIGAN, CARRATHOOL, EDWARD RIVER, FEDERATION, GRIFFITH, HAY, LEETON, MURRUMBIDGEE, NARRANDERA"
BALLINA,BALLINA SHIRE COUNCIL,LENNOX HEAD,2478,100,,,,MUSWELLBROOK,,,"MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, UPPER HUNTER"
