lga,council_name,lga_neighbor
RANDWICK,RANDWICK CITY COUNCIL,"BAYSIDE (NSW), RANDWICK, SYDNEY, WAVERLEY, WOOLLAHRA"
RICHMOND VALLEY,RICHMOND VALLEY COUNCIL,"BALLINA, CLARENCE VALLEY, KYOGLE, LISMORE, RICHMOND VALLEY"
RYDE,RYDE CITY COUNCIL,"HORNSBY, HUNTERS HILL, KU-RING-GAI, CITY OF PARRAMATTA, RYDE, WILLOUGHBY"
SHELLHARBOUR,SHELLHARBOUR CITY COUNCIL,"KIAMA, SHELLHARBOUR, WINGECARRIBEE, WOLLONGONG"
SHOALHAVEN,SHOALHAVEN CITY COUNCIL,"EUROBODALLA, GOULBURN MULWAREE, KIAMA, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, WINGECARRIBEE"
SINGLETON,SINGLETON COUNCIL,"CESSNOCK, DUNGOG, HAWKESBURY, LITHGOW CITY, MAITLAND, MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, UPPER HUNTER"
SNOWY MONARO REGIONAL REGIONAL,SNOWY MONARO REGIONAL REGIONAL COUNCIL,"BEGA VALLEY, EUROBODALLA, QUEANBEYAN-PALERANG REGIONAL, SNOWY MONARO REGIONAL, SNOWY VALLEYS"
SNOWY VALLEYS,SNOWY VALLEYS COUNCIL,"COOTAMUNDRA-GUNDAGAI REGIONAL, GREATER HUME SHIRE, SNOWY MONARO REGIONAL, SNOWY VALLEYS, WAGGA WAGGA, YASS VALLEY"
STRATHFIELD,STRATHFIELD MUNICIPAL COUNCIL,"BURWOOD, CANADA BAY, CANTERBURY-BANKSTOWN, CUMBERLAND, CITY OF PARRAMATTA, STRATHFIELD"
SUTHERLAND SHIRE SHIRE,SUTHERLAND SHIRE SHIRE COUNCIL,"CAMPBELLTOWN, CANTERBURY-BANKSTOWN, LIVERPOOL, SUTHERLAND SHIRE, WOLLONGONG"
SYDNEY,COUNCIL OF THE CITY OF SYDNEY,"BAYSIDE (NSW), INNER WEST, RANDWICK, SYDNEY, WOOLLAHRA"
TAMWORTH REGIONAL REGIONAL,TAMWORTH REGIONAL REGIONAL COUNCIL,"GUNNEDAH, GWYDIR, LIVERPOOL PLAINS, NARRABRI, TAMWORTH REGIONAL, UPPER HUNTER, URALLA, WALCHA"
TEMORA,TEMORA SHIRE COUNCIL,"BLAND, COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, HILLTOPS, JUNEE, TEMORA"
TENTERFIELD,TENTERFIELD SHIRE COUNCIL,"CLARENCE VALLEY, GLEN INNES SEVERN, INVERELL, KYOGLE, TENTERFIELD"
THE HILLS SHIRE SHIRE,THE HILLS SHIRE SHIRE COUNCIL,"BLACKTOWN, CENTRAL COAST, HAWKESBURY, HORNSBY, CITY OF PARRAMATTA, THE HILLS SHIRE"
TWEED,TWEED SHIRE COUNCIL,"BYRON, KYOGLE, LISMORE, TWEED"
UPPER HUNTER,UPPER HUNTER SHIRE COUNCIL,"DUNGOG, LIVERPOOL PLAINS, MID-COAST, MID-WESTERN REGIONAL, MUSWELLBROOK, SINGLETON, TAMWORTH REGIONAL, UPPER HUNTER, WALCHA, WARRUMBUNGLE"
UPPER LACHLAN SHIRE SHIRE,UPPER LACHLAN SHIRE SHIRE COUNCIL,"BATHURST REGIONAL, COWRA, GOULBURN MULWAREE, HILLTOPS, OBERON, QUEANBEYAN-PALERANG REGIONAL, UPPER LACHLAN SHIRE, WINGECARRIBEE, WOLLONDILLY, YASS VALLEY"
URALLA,URALLA SHIRE COUNCIL,"ARMIDALE REGIONAL, GWYDIR, INVERELL, TAMWORTH REGIONAL, URALLA, WALCHA"
WAGGA WAGGA,WAGGA WAGGA CITY COUNCIL,"COOLAMON, COOTAMUNDRA-GUNDAGAI REGIONAL, GREATER HUME SHIRE, JUNEE, LOCKHART, NARRANDERA, SNOWY VALLEYS, WAGGA WAGGA"
WALCHA,WALCHA COUNCIL,"ARMIDALE REGIONAL, KEMPSEY, MID-COAST, PORT MACQUARIE-HASTINGS, TAMWORTH REGIONAL, UPPER HUNTER, URALLA, WALCHA"
WALGETT,WALGETT SHIRE COUNCIL,"BREWARRINA, COONAMBLE, MOREE PLAINS, NARRABRI, WALGETT, WARREN"
WARREN,WARREN SHIRE COUNCIL,"BOGAN, BREWARRINA, COONAMBLE, GILGANDRA, LACHLAN, NARROMINE, WALGETT, WARREN"
WARRUMBUNGLE,WARRUMBUNGLE SHIRE COUNCIL,"COONAMBLE, DUBBO REGIONAL, GILGANDRA, GUNNEDAH, LIVERPOOL PLAINS, MID-WESTERN REGIONAL, NARRABRI, UPPER HUNTER, WARRUMBUNGLE"
WAVERLEY,WAVERLEY COUNCIL,"RANDWICK, WAVERLEY, WOOLLAHRA"
WEDDIN,WEDDIN SHIRE COUNCIL,"BLAND, COWRA, FORBES, HILLTOPS, WEDDIN"
WENTWORTH,WENTWORTH SHIRE COUNCIL,"BALRANALD, CENTRAL DARLING, WENTWORTH, UNINCORPORATED NSW"
WILLOUGHBY,WILLOUGHBY CITY COUNCIL,"KU-RING-GAI, LANE COVE, NORTH SYDNEY, RYDE, WILLOUGHBY"
WINGECARRIBEE,WINGECARRIBEE SHIRE COUNCIL,"GOULBURN MULWAREE, KIAMA, SHELLHARBOUR, SHOALHAVEN, UPPER LACHLAN SHIRE, WINGECARRIBEE, WOLLONDILLY, WOLLONGONG"
WOLLONDILLY,WOLLONDILLY SHIRE COUNCIL,"BLUE MOUNTAINS, CAMDEN, CAMPBELLTOWN, LIVERPOOL, OBERON, PENRITH, UPPER LACHLAN SHIRE, WINGECARRIBEE, WOLLONDILLY, WOLLONGONG"
WOLLONGONG,WOLLONGONG CITY COUNCIL,"CAMPBELLTOWN, SHELLHARBOUR, SUTHERLAND SHIRE, WINGECARRIBEE, WOLLONDILLY, WOLLONGONG"
WOOLLAHRA,WOOLLAHRA MUNICIPAL COUNCIL,"RANDWICK, SYDNEY, WAVERLEY, WOOLLAHRA"
YASS VALLEY,YASS VALLEY COUNCIL,"COOTAMUNDRA-GUNDAGAI REGIONAL, HILLTOPS, QUEANBEYAN-PALERANG REGIONAL, SNOWY VALLEYS, UPPER LACHLAN SHIRE, YASS VALLEY"
